mode,arm,variant,role,ordinal,medianBatchP50Us,batchP50Us,batchMeanUs
off,candidate,original,currentFacts,22,4.229499999951258,"[4.2089999999461725, 4.040999999688211, 4.249999999956344, 4.2920000005324255]","[4.578889999998334, 4.173773333345707, 4.285836666675398, 4.364853333308929]"
off,candidate,original,verificationFacts,23,2.103999999917505,"[2.0829999998568383, 1.9580000002861198, 2.124999999978172, 2.290999999786436]","[2.2744466666631524, 2.052096666675425, 2.1841666666690194, 2.353346666680712]"
off,candidate,swapped,currentFacts,23,2.3125000003574314,"[2.2910000000138098, 2.124999999978172, 2.5420000001759036, 2.334000000701053]","[2.748909999994946, 2.287333333335179, 2.6545866666689713, 2.480153333335693]"
off,candidate,swapped,verificationFacts,22,4.416499999933876,"[4.500000000007276, 4.249999999956344, 4.582999999911408, 4.332999999860476]","[4.985976666672893, 4.407213333336888, 4.712216666678918, 4.411579999993289]"
off,reference,original,currentFacts,18,2.229500000112239,"[2.291999999897598, 2.250000000003638, 2.207999999882304, 2.20900000022084]","[2.409040000004552, 2.614583333338487, 2.297629999992144, 2.324183333334986]"
off,reference,original,verificationFacts,19,1.9589999999425345,"[1.9999999999527063, 1.9590000001699082, 1.9579999998313724, 1.9589999997151608]","[2.172636666659855, 2.1196033333277837, 2.0320833333441137, 2.09970000001249]"
off,reference,swapped,currentFacts,19,2.2705000001224107,"[2.124999999978172, 2.4160000002666493, 2.0830000003115856, 2.6250000000800355]","[2.394186666669308, 2.638019999997141, 2.336366666674318, 2.8809699999965233]"
off,reference,swapped,verificationFacts,18,2.5625000000673026,"[2.4170000001504377, 2.7079999999841675, 2.415999999811902, 2.8750000001309672]","[2.6385766666779396, 13.539326666662722, 2.7650366666709183, 3.1395600000299355]"
summary,candidate,original,currentFacts,22,3.9999999999054126,"[3.9999999999054126, 3.9999999999054126, 3.9170000000012806, 4.291999999622931]","[4.21748333330773, 4.454316666654753, 4.052089999998619, 4.399016666708728]"
summary,candidate,original,verificationFacts,23,1.9170000000485743,"[1.916999999593827, 1.9170000005033216, 1.916999999593827, 2.25000000136788]","[2.05955666664219, 2.17690666667598, 2.0691500000339147, 2.4065100000643724]"
summary,candidate,swapped,currentFacts,23,2.0839999997406267,"[2.0839999997406267, 2.375000000029104, 2.0000000004074536, 2.0839999997406267]","[2.306543333331016, 2.49707999999373, 2.1197466666641653, 2.302253333352079]"
summary,candidate,swapped,verificationFacts,22,4.187000000001717,"[4.207999999380263, 4.415999999764608, 4.042000000481494, 4.166000000623171]","[4.5062299999820725, 4.638183333311948, 4.242410000000139, 4.331406666678959]"
summary,reference,original,currentFacts,18,2.479499999935797,"[2.2499999995488906, 2.458999999362277, 2.500000000509317, 2.541999999266409]","[2.4114133333083982, 2.584033333344754, 2.6380466666311504, 2.6649166666356905]"
summary,reference,original,verificationFacts,19,2.250000000003638,"[2.0000000004074536, 2.2499999995488906, 2.292000000124972, 2.2500000004583853]","[2.130286666667113, 2.4934899999637614, 2.4277800000102916, 2.6511333333110088]"
summary,reference,swapped,currentFacts,19,2.604499999961263,"[2.666999999746622, 2.58399999984249, 2.6250000000800355, 2.457999999933236]","[2.739996666668958, 2.6595866666169363, 2.7524566666882797, 2.4987533333417864]"
summary,reference,swapped,verificationFacts,18,2.89550000024974,"[2.9999999997016857, 2.8330000004643807, 2.958000000035099, 2.7090000003227033]","[3.07720333336268, 2.9337366666732123, 3.132796666707994, 2.8109766666451224]"
