mode,id,candidateMedianBatchP50Us,referenceMedianBatchP50Us,batchP50DeltasUs,candidateMeanUs,referenceMeanUs,batchMeanDeltasUs,medianBatchP50DeltaUs
off,pack,3.3124999997653504,3.312499999879037,"[-0.08400000024266774, -0.33300000018243736, 0.37400000019260915, -0.16699999969205237]",3.9201883333195533,4.560118333338134,"[-0.13637333334751667, -1.1286233333248674, 0.3554266666484789, -1.6501500000504166]",-0.12549999996736005
off,arrivals,1.1249999998881322,1.1245000000599248,"[-0.041999999893960194, -0.041000000237545464, 0.24999999959618435, -0.08299999990413198]",1.3468791666480229,1.386501666668399,"[0.30529000000266643, -0.21151333334197878, 0.053299999963201145, -0.3055666667053931]",-0.04150000006575283
off,current,1.02100000003702,1.0209999999233332,"[-2.2737367544323206e-10, -0.041999999893960194, 0.2090000002681336, -0.04199999966658652]",1.2074216666599114,1.228594999988862,"[0.0883133333301582, -0.01635666667122379, 0.13075333336018943, -0.2874033333349264]",-0.020999999946980097
off,verification,1.0414999999284191,1.0209999998096464,"[0.0, -0.0010000001111620804, 0.20799999992959783, -0.08299999944938463]",1.1853000000074114,1.239784166665269,"[0.06862666666089967, -0.15640666666134462, 0.10814000002634812, -0.23829666665733376]",-0.0005000000555810402
off,local,1.146000000062486,1.146000000062486,"[-0.04100000001017179, -0.04199999966658652, 0.20799999947485048, -0.08299999990413198]",1.3471899999927928,1.5618050000008075,"[0.26246999998799453, -0.2290099999981976, 0.1578199999827726, -1.049740000004628]",-0.041499999838379154
off,inbox,1.00000000009004,0.979000000029373,"[-2.2737367544323206e-10, 2.2737367544323206e-10, 0.20799999992959783, -0.04200000012133387]",1.131248333335293,1.2309324999995397,"[0.0817933333397984, -0.32933999998628377, 0.174740000008266, -0.3259300000187673]",0.0
off,spending/startup,2.0839999999680003,2.104500000086773,"[0.041999999893960194, -0.20800000038434519, 0.16700000014679972, -0.08300000035887933]",2.516387500001921,2.9376949999976887,"[0.03893000000061882, -0.37530333334113203, 0.3550266666919317, -1.7038833333344887]",-0.02050000023245957
off,spending/evaluationSelections,3.500499999972817,3.5000000001446097,"[0.12500000002546585, -0.2500000002783054, 0.2509999999347201, -0.16600000026301132]",3.8856241666746882,4.195552500002198,"[0.1570733333346652, -0.6212300000091393, 0.1916666666753981, -0.9672233333109644]",-0.020500000118772732
off,spending/transaction,2.4580000000469227,2.4170000001504377,"[0.12399999991430377, -0.08299999990413198, 0.20799999992959783, -0.08299999990413198]",3.6304374999995543,2.6264883333285143,"[4.253000000004097, -0.1544733333222817, 0.16561666669228248, -0.2483466666899402]",0.020500000005085894
off,spending/vendorStats,2.083500000026106,2.0839999999680003,"[0.04100000001017179, -0.041999999893960194, 0.16600000026301132, -0.04200000057608122]",2.30080666666898,2.3050058333427614,"[0.2962666666614191, -0.08448333334020677, 0.1065199999857212, -0.3351000000020575]",-0.0004999999418942025
off,spending/userProfile,2.041500000245833,2.04200000007404,"[0.04100000001017179, -0.08299999944938463, 0.24999999959618435, -0.04099999978279811]",2.2453941666651644,2.3999666666613466,"[0.16459000000850235, -0.09054000002455118, -0.1323566666330102, -0.5599833333356703]",1.1368683772161603e-10
off,spending/policy,2.0414999999047723,2.0209999998996864,"[0.08299999990413198, -0.041999999893960194, 0.20799999992959783, -0.08299999944938463]",4.22399500001158,2.256502500001337,"[0.37929000000228075, -0.1680800000031014, 7.919873333342671, -0.261113333300879]",0.020500000005085894
off,spending/anomalyScore,2.6249999999663487,2.5829999999587017,"[0.08400000001529406, -0.0010000001111620804, 0.2500000000509317, -4.547473508864641e-10]",2.8703566666623224,3.123216666663969,"[0.06514999999732629, -0.06194000001566273, 0.07475666666929706, -1.0894066666575475]",0.041999999780273356
off,spending/thresholdGate,2.3125000001300577,2.333999999905245,"[-0.000999999883788405, -0.08299999990413198, 0.16600000026301132, -0.08400000024266774]",2.524010833342156,2.6247624999973596,"[0.2540100000032906, -0.07301333333619656, -0.019423333324084663, -0.5645799999638257]",-0.041999999893960194
off,spending/reasonFactors,2.271000000064305,2.270999999950618,"[0.04200000012133387, -0.041999999893960194, 0.12500000002546585, -0.04200000012133387]",2.4540591666614846,2.5338008333346806,"[0.04498333333003779, -0.1691900000082569, 0.021369999999478872, -0.21613000001404228]",1.1368683772161603e-10
off,spending/alertMessage,2.062500000079126,2.124999999978172,"[-0.041999999893960194, -0.08299999990413198, 0.12500000002546585, -0.08299999990413198]",2.257150833327728,2.285877499998416,"[0.20330333334262232, -0.04608666668521732, 0.08915666667083612, -0.3612800000109928]",-0.06249999989904609
off,spending/assessment,2.8125000000045475,2.8749999999035936,"[0.0, -0.12499999979809218, 0.08399999978792039, -0.12400000014167745]",2.981250000002736,3.113233333340304,"[0.29514333333130083, -0.33185000000457865, 0.016106666647222774, -0.5073333333242164]",-0.06200000007083872
off,spending/requestMaterials,2.7914999999438805,4.625000000032742,"[-1.7500000001291482, -1.9170000000485743, -1.66700000045239, -1.9580000002861198]",2.905441666658627,5.062499166670969,"[-1.9178966666769763, -2.5371533333304797, -1.7560900000186543, -2.41709000002326]",-1.8335000000888613
off,spending/materialStore,2.166499999930238,2.04200000007404,"[0.16599999980826396, 0.04200000012133387, 0.3329999999550637, 0.04199999966658652]",2.3294016666555235,2.369222499997553,"[0.3691566666748254, -0.24423000000372946, 0.20996999997199361, -0.4941800000112075]",0.10399999996479892
off,spending/materialSnapshot,2.083500000026106,2.04200000007404,"[0.08299999990413198, 0.0, 0.24999999959618435, 4.547473508864641e-10]",2.293139999997796,3.6286899999938287,"[0.3179866666619094, -0.12411333333147909, 0.1617333333175943, -5.6978066666321565]",0.04150000017943967
off,spending/effectProposals,2.021000000013373,2.041000000076565,"[0.0010000001111620804, -0.041999999893960194, 0.16699999969205237, -0.08299999944938463]",2.1820450000029723,2.2675450000033,"[0.09789999997944195, -0.20433000000063356, 0.06915666666221448, -0.3047266666423337]",-0.020499999891399057
off,spending/currentFacts,4.125499999986459,2.416499999867483,"[1.7920000000231084, 1.6250000001036824, 1.8760000002657762, 1.6669999999976426]",4.400209166669621,2.6143825000002607,"[2.243863333333138, 1.6393133333410026, 1.92736666667012, 1.3327633333331808]",1.7295000000103755
off,spending/verificationFacts,2.083500000026106,2.082999999970525,"[0.041999999893960194, -0.04100000001017179, 0.2500000000509317, -0.04199999966658652]",2.3134725000016942,2.896995000003055,"[0.09798000001031434, 0.03290333333022012, 0.3076466666501192, -2.7726199999960954]",0.0004999999418942025
off,spending/localFacts,2.062500000079126,2.04200000007404,"[0.041999999893960194, -0.000999999883788405, 0.20799999992959783, -0.041000000692292815]",2.286950833341924,2.2865108333305293,"[0.2357166666714268, 0.03264666666306448, 0.25299666666038934, -0.5195999999493021]",0.020500000005085894
off,spending/inboxFacts,2.041500000018459,2.041500000018459,"[0.041000000237545464, -0.08299999990413198, 0.20899999981338624, -0.04200000012133387]",2.232864166661746,2.37297749999603,"[0.08889999999837526, -0.1818200000290441, -0.008029999988442421, -0.4595033333180255]",-0.0004999999418942025
off,spending/publicationPolicy,3.2919999998739513,3.2919999998739513,"[0.04200000012133387, -0.08300000013150566, 0.2500000000509317, -0.08300000035887933]",3.47146333333266,3.6526191666661134,"[0.16014333333108297, -0.14947000001939126, 0.16444000001229145, -0.8997366666577966]",-0.020500000005085894
off,spending/occurrences,2.021000000013373,2.020500000185166,"[0.041999999893960194, -0.04200000012133387, 0.16699999969205237, -0.08299999944938463]",2.276415833341995,2.2768058333326735,"[0.4300399999957942, -0.03762000000354744, -0.14589666667234272, -0.24808333328261728]",-1.1368683772161603e-10
off,spending/occurrenceAdmissions,2.333500000077038,2.416499999867483,"[-0.041999999893960194, -0.12499999979809218, 0.08400000024266774, -0.1250000004802132]",2.5048583333259935,2.730943333331955,"[-0.4536166666654633, -0.15334999998761584, 0.01625666663282281, -0.3136300000035892]",-0.08349999984602618
off,spending/branchTerminals,2.4994999999989886,2.5409999999510546,"[0.0, -0.08299999990413198, 0.16600000026301132, -0.12500000002546585]",4.743919166659983,7.00808666667721,"[-0.22109666666741143, -0.07197333335094876, -8.518626666674814, -0.24497333337573446]",-0.04149999995206599
off,spending/effectAdmissions,2.0209999998996864,2.0829999998568383,"[-0.04100000001017179, -0.08300000013150566, 0.1260000003640016, -0.08300000035887933]",2.2849750000032523,2.400798333330272,"[-0.06942000000284076, -0.13913999997991305, -0.06697333331885572, -0.18776000000646784]",-0.06200000007083872
off,spending/effectOutcomes,2.0209999998996864,2.0409999998491912,"[0.000999999883788405, -0.04100000001017179, 0.16700000060154707, -0.08299999990413198]",2.142814166667411,2.2892641666694162,"[-0.36442666666289386, -0.0898266666573967, 0.10027333332345749, -0.23182000001118785]",-0.020000000063191692
off,spending/evidence,2.4379999997563573,2.4790000001075896,"[0.0009999996564147295, -0.08300000035887933, 0.16700000014679972, -0.08299999944938463]",2.654053333340206,5.51548583332836,"[0.19708666666929264, -0.13239333333331121, -8.310183333311821, -3.200239999976778]",-0.04099999989648495
off,spending/watermarks,2.5415000000066357,2.624999999738975,"[-0.041999999893960194, -0.12500000002546585, 0.08300000035887933, -0.08400000024266774]",2.708944999997319,17.62474249999343,"[-0.07093000000319652, -0.1972800000021378, -0.10499666666267601, -59.289983333316435]",-0.06300000006831397
off,spending/causal/input/occurrences,3.041500000108499,2.9789999999820793,"[0.2080000001569715, -0.16699999991942605, 0.2920000001722656, -0.12500000002546585]",3.3215174999944947,3.563068333327427,"[0.17371333332827538, -0.1490366666788154, 0.08137666667304683, -1.072256666654236]",0.04150000006575283
off,spending/causal/input/admissions,2.166999999985819,2.124999999978172,"[0.08400000001529406, 0.0, 0.2500000000509317, 4.547473508864641e-10]",2.355974166666215,2.8645499999998947,"[0.1816466666703792, -1.767500000000079, 0.1508433333310675, -0.5992933333360878]",0.04200000023502071
off,spending/causal/input/branch-terminals,2.104000000144879,2.083000000084212,"[0.041999999893960194, 2.2737367544323206e-10, 0.20899999981338624, 0.0]",2.2519150000128243,2.3226108333312823,"[0.05670333333682728, -0.26767999999113573, 0.07400666667763253, -0.14581333329715535]",0.021000000060666935
off,spending/causal/input/effect-proposals,2.083000000084212,2.062499999965439,"[0.08299999990413198, -0.041999999893960194, 0.2090000002681336, -0.04199999966658652]",2.282961666670076,2.247669166669842,"[0.22485333333179372, -0.07970333333863272, 0.20224999997935827, -0.20622999997158345]",0.020500000118772732
off,spending/causal/input/effect-admissions,2.103999999917505,2.082999999970525,"[0.041999999893960194, -2.2737367544323206e-10, 0.2090000002681336, -0.0010000003385357559]",2.4043483333364675,2.256744166672699,"[0.28497999999217444, -0.033173333326886115, 0.5487133333281236, -0.2101033333383384]",0.02099999983329326
off,spending/causal/input/effect-outcomes,2.083500000026106,2.0419999999603533,"[0.08300000013150566, 0.0, 0.20799999992959783, -0.041000000692292815]",2.3310175000023037,2.2300316666689923,"[0.1830899999814995, 0.03042000001642021, 0.4301299999830617, -0.2396966666477359]",0.04150000006575283
off,spending/causal/input/evidence,2.0834999999124193,2.104500000086773,"[-0.04100000001017179, -0.04200000012133387, 0.20799999992959783, -0.08299999990413198]",2.2850799999986293,2.3378558333322035,"[0.23041999999198498, -0.09488333333592877, -0.07346666668884899, -0.27317333330150473]",-0.04150000006575283
off,spending/causal/input/watermarks,2.061999999909858,2.0414999997910854,"[0.04200000012133387, -0.0010000003385357559, 0.20800000038434519, -4.547473508864641e-10]",2.2926175000115263,2.2139000000045903,"[0.3258299999765769, -0.018183333312815023, 0.11413333332257027, -0.10690999995858867]",0.02099999983329326
off,spending/causal/arrivals,3.6874999999554348,3.666999999950349,"[0.08300000013150566, -0.04200000012133387, 0.20799999992959783, -0.04199999966658652]",3.90834333333468,4.105440000013421,"[0.3992999999983715, -0.15897333335260525, 0.10142333332017507, -1.1301366666809065]",0.02050000023245957
off,spending/causal/authority,2.2709999998369312,2.311999999847103,"[0.0, -0.12400000036905112, 0.2090000002681336, -0.08300000035887933]",2.498429166666748,2.5952191666694566,"[0.2785800000060586, -0.09197000000237204, -0.03108333333481537, -0.5426866666797042]",-0.04150000017943967
off,spending/causal/release-candidates,6.853999999975713,6.853999999862026,"[0.12500000025283953, -0.16699999991942605, 0.16700000014679972, -0.20799999947485048]",7.269370833337045,7.427253333335102,"[0.8255999999967882, -0.34600666667529334, -0.1555433333351175, -0.9555799999786058]",-0.02099999983329326
off,spending/causal/release-port,2.312500000016371,2.33299999990777,"[0.04200000012133387, -0.08400000001529406, 0.2090000002681336, -0.08300000035887933]",2.5738175000007386,2.692950000002459,"[0.11193666666864996, -0.19500666666165964, 0.2255599999792441, -0.6190199999931184]",-0.020500000118772732
off,spending/causal/released,2.0624999998517524,2.082999999970525,"[0.0, -0.042000000348707545, 0.2090000002681336, -0.08299999944938463]",2.276302499996253,4.539750000002414,"[-8.406980000001264, -0.13042666668070532, 0.048879999985729145, -0.565263333328403]",-0.021000000174353772
off,spending/causal/release-events,2.374999999915417,2.375000000029104,"[0.041999999893960194, -0.04200000012133387, 0.20799999992959783, -0.08299999944938463]",2.5462399999997842,3.251494166666665,"[-0.38294999999607165, -0.7090266666485452, 0.10095666667742348, -1.8299966667003296]",-1.1368683772161603e-10
off,spending/causal/release-controller,2.083500000026106,2.124999999978172,"[-2.2737367544323206e-10, -0.08299999990413198, 0.20799999992959783, -0.08299999944938463]",2.4053641666608883,2.632035833332793,"[0.13562666665696554, 0.020036666681638466, 0.21943333331516127, -1.2817833333413853]",-0.041499999838379154
off,spending/causal/currentness,2.021000000013373,2.020500000071479,"[0.0010000001111620804, -2.2737367544323206e-10, 0.20800000038434519, -0.04200000012133387]",3.264778333332098,2.275242499995708,"[4.38323666667884, -0.20158000001022947, 0.145816666677092, -0.36933000000014243]",0.0004999999418942025
off,spending/causal/terminals,2.104000000144879,2.082999999970525,"[0.041999999893960194, 2.2737367544323206e-10, 0.2090000002681336, -0.041000000237545464]",2.2418324999949846,2.3414849999949183,"[0.009886666677327242, -0.11459666667406038, 0.15207000000070064, -0.4459700000037023]",0.021000000060666935
off,spending/causal/conservation,2.0004999997809136,1.9375000000536602,"[0.12499999979809218, 0.0009999996564147295, 0.2500000000509317, -0.000999999883788405]",2.27656749999691,2.150092500007001,"[0.7054966666745106, -0.037206666685657766, 0.18069666664966183, -0.34308666667887644]",0.06299999972725345
off,spending/causal/coverage,2.10450000020046,2.1044999999730862,"[2.2737367544323206e-10, 2.2737367544323206e-10, 0.16700000014679972, -0.04099999978279811]",2.2895541666696317,2.382470000003612,"[0.10101000001289627, -0.16275333334760977, 0.0911600000154068, -0.4010800000166155]",2.2737367544323206e-10
off,spending/causal/quiescence,1.9375000000536602,1.9374999999399733,"[0.041999999893960194, -0.041999999893960194, 0.20800000038434519, -0.041000000237545464]",4.16844166666787,2.371366666659469,"[-0.022226666665119132, -0.2950299999770322, 0.15942000003178702, 7.346136666643967]",0.0004999998282073648
off,spending/causal/issues,1.9790000000057262,1.9579999999450592,"[0.04200000012133387, -0.0010000001111620804, 0.2090000002681336, -4.547473508864641e-10]",2.1741958333276066,2.1727783333382904,"[0.2001266666676808, -0.12139333333683082, 0.127616666663926, -0.2006800000375129]",0.02099999983329326
off,spending/causal/committed-effects,2.021000000013373,1.9999999999527063,"[0.04200000012133387, 0.0, 0.20799999992959783, 4.547473508864641e-10]",2.1716574999970817,3.904413333326034,"[0.044896666668895434, -0.1706233333349399, 0.18541333333814675, -6.99070999998791]",0.02100000028804061
off,spending/causal/causal-quiescence,2.479500000049484,2.417000000036751,"[0.16700000014679972, -0.04200000012133387, 0.20799999992959783, -0.08299999990413198]",2.6442858333295285,4.040150833333769,"[0.26616000000785794, -0.11385666667744487, 0.02739333332101501, -5.763156666668389]",0.06250000001273293
off,requestMaterialJoin,2.7084999999260617,2.666999999860309,"[0.08400000001529406, -0.08400000001529406, 0.20800000038434519, -0.1240000005964248]",2.925334999999715,3.3651241666685414,"[0.23723333332403232, -0.02056999998937192, 0.1705799999869367, -2.146399999996902]",0.0
off,publication,1.9585000000006403,1.9375000000536602,"[0.041999999893960194, -0.04100000001017179, 0.20799999992959783, -0.08300000035887933]",2.0953091666814316,2.3813775000015385,"[-0.48930999998977615, -0.2597466666520629, -0.1226033333326386, -0.2726133333059502]",0.0004999999418942025
off,spending/consumerIssues,3.9375000000063665,3.9590000000089276,"[0.0, -0.08400000001529406, 0.20699999959106208, -0.12499999911597115]",4.146882499991307,4.551776666665622,"[-0.7308099999886507, -0.2942733333528248, 0.08882333331257548, -0.6833166666683609]",-0.04200000000764703
summary,pack,3.1254999998964195,3.3750000002328306,"[0.16700000014679972, -0.29100000028847717, -0.5830000000059954, -0.08299999990413198]",3.73881833332689,3.7170874999962202,"[0.46315999998417606, 0.060716666615311284, -0.6256966666417915, 0.18874333336498222]",-0.18700000009630457
summary,arrivals,1.187500000014552,1.2915000002067245,"[0.16599999980826396, -0.20799999947485048, -0.3749999996216502, 0.0]",1.2911083333278839,1.3555791666719113,"[0.15560333331450232, -0.10694999999032, -0.34760333334209775, 0.041066666641806186]",-0.10399999973742524
summary,current,1.0835000002771267,1.228999999966618,"[0.1249999995707185, -0.20799999947485048, -0.37399999928311445, -0.041000000237545464]",1.246894999998555,3.5327658333509744,"[-8.945936666680913, 0.039093333346803316, -0.2337433333984033, -0.0028966666771640566]",-0.12449999985619797
summary,verification,1.0834999998223793,1.2289999995118706,"[0.04200000057608122, -0.16700000014679972, -0.3329999999550637, -0.04099999932805076]",1.1629266666644373,1.2844400000093021,"[0.03389666667317223, -0.16762666669819745, -0.348419999985102, -0.003903333369332119]",-0.10399999973742524
summary,local,1.2079999996785773,1.3125000000400178,"[0.1250000004802132, -0.16700000014679972, -0.3329999999550637, -9.094947017729282e-10]",1.6756983333220887,1.3776508333535276,"[0.13311333331936714, 1.3982299999770473, -0.24860333338134902, -0.09055000004082109]",-0.08350000052814721
summary,inbox,1.0419999998703133,1.146000000062486,"[0.1250000004802132, -0.16599999980826396, -0.2920000006270129, -9.094947017729282e-10]",1.141661666674736,1.2293291666810546,"[0.08978333338139537, -0.1770500000293396, -0.33698000000489015, 0.07357666662755948]",-0.08300000035887933
summary,spending/startup,2.0624999997380655,2.271500000006199,"[0.33199999961652793, -0.20800000038434519, -0.5830000000059954, -0.12599999990925426]",2.4448241666762742,2.6179008333398697,"[0.1509633333292488, 0.17824000003201962, -0.593163333366344, -0.4283466666493044]",-0.16700000014679972
summary,spending/evaluationSelections,3.4164999997301493,3.770500000428001,"[0.08299999990413198, -0.4999999991923687, -0.7919999998193816, -0.2080000012938399]",5.821904166673448,4.067149999989397,"[0.17889333335915567, -0.3332200000022564, 7.386383333347719, -0.2130399999684114]",-0.3540000002431043
summary,spending/transaction,2.5000000000545697,2.645999999913329,"[0.08400000024266774, -0.20800000038434519, -0.3749999996216502, -0.08400000024266774]",2.6841683333168476,2.7421566666847257,"[0.18428666662354465, -0.04405000000891335, -0.3138533333822123, -0.05833666670393206]",-0.14600000031350646
summary,spending/vendorStats,2.1664999994754908,2.33299999990777,"[0.1250000004802132, -0.20899999981338624, -0.3750000005311449, -0.08300000081362668]",2.3167024999975183,2.382824166663037,"[0.26363333335211814, -0.14670000005329117, -0.358646666651718, -0.02277333330918431]",-0.14600000031350646
summary,spending/userProfile,2.1250000004329195,2.270500000577158,"[0.1249999995707185, -0.20799999947485048, -0.41599999985919567, -0.041000000237545464]",2.3153450000108933,2.356264999997772,"[0.134036666653022, 0.16151333339924642, -0.451969999979459, -0.007260000020323839]",-0.12449999985619797
summary,spending/policy,2.1045000003141467,2.250000000003638,"[0.1250000004802132, -0.16699999923730502, -0.41599999894970097, -0.08299999990413198]",2.252383333351797,4.845440000005965,"[0.12224333335022174, 0.049806666665972756, -0.41150999996413407, -10.132766666668736]",-0.1249999995707185
summary,spending/anomalyScore,2.686999999696127,2.7500000001055014,"[0.20699999913631473, -0.1250000004802132, -0.37400000019260915, 0.0]",2.8668858333329204,5.028884999980315,"[0.19433999998606571, -8.488186666642527, -0.286379999943165, -0.06776999998995334]",-0.0625000002401066
summary,spending/thresholdGate,2.354499999910331,2.5420000001759036,"[0.08299999990413198, -0.20800000038434519, -0.4170000001977314, -0.1249999995707185]",2.453259166660094,2.6226841667016743,"[0.08704999997765586, -0.2670400000867328, -0.3894733333830421, -0.10823666667420223]",-0.16649999997753184
summary,spending/reasonFactors,2.33299999990777,2.4584999996477563,"[0.16700000014679972, -0.16700000014679972, -0.3750000005311449, -0.04199999966658652]",2.435926666682917,2.5117483333095456,"[0.1821000000927597, -0.1794699999663864, -0.3377599999839732, 0.03184333335108604]",-0.10449999990669312
summary,spending/alertMessage,2.124999999978172,2.3125000002437446,"[0.08399999933317304, -0.249999999141437, -0.41599999985919567, -0.1250000004802132]",2.201165833324315,2.4097033333335576,"[0.0660933333134989, -0.3224799999952668, -0.4298399999849304, -0.14792333337027225]",-0.1874999998108251
summary,spending/assessment,2.833499999724154,3.0414999996537517,"[0.08299999990413198, -0.24900000062189065, -0.41600000076869037, -0.1249999995707185]",2.9897600000125144,3.182531666683038,"[0.16527000004922832, -0.12052000002161839, -0.7076566666546569, -0.1081800000550478]",-0.18700000009630457
